AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO,Prediccion_Ajuste_Modelo 1: Red Neuronal con Más Capas y Neuronas,Prediccion_Ajuste_Modelo 2: Red Neuronal con Menos Capas y Neuronas,Prediccion_Ajuste_Modelo 3: Red Neuronal con Capas Convolucionales (CNN)
0.0,27.63,611.52,32897.564,132.664,0,65.281235,25.222502,50.38368
0.0,21.75,19491.5,5712.14,4231.976,-1,660.0763,1190.4753,1261.9009
0.0,5.47,300.0,32897.564,100.0,0,67.24505,34.081055,57.552967
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,17.03,300.0,32897.564,100.0,0,65.25021,27.466341,53.260456
0.0,6.9,573.055,300.0,100.0,-1,108.131096,26.366201,62.440132
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,36.81,300.0,300.0,100.0,-1,108.131096,15.813543,54.218376
0.0,50.35,18555.46,6241.2,3144.792,0,360.9113,885.40656,766.369
0.0,69.98,469.105,300.0,100.0,0,69.36028,27.20902,62.884827
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,28.18,300.0,32897.564,100.0,0,64.94572,22.733564,48.297726
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,22.14,300.0,300.0,100.0,0,67.60388,25.261068,54.51751
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,29.23,860.195,300.0,293.888,0,70.04896,46.757812,54.516586
0.0,51.83,16139.55,3404.716,3473.652,-1,504.6907,974.84924,912.75635
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,51.83,1455.23,42.616,272.72,-1,108.131096,43.906845,59.921825
0.0,49.7,23789.885,7650.804,100.0,0,64.43284,15.357237,49.65005
0.0,43.33,300.0,300.0,100.0,0,67.7505,16.293222,50.33501
0.0,51.83,1441.58,33.88,380.464,-1,108.13108,68.21432,62.866238
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,46.22,14227.71,2103.416,1806.728,0,125.12673,400.7085,316.15192
0.0,42.4,300.0,300.0,100.0,0,67.739876,16.68307,50.346573
0.0,48.05,300.0,32897.564,100.0,0,64.757126,15.585997,45.915855
0.0,21.81,395.43,300.0,100.0,-1,108.131096,20.502382,58.846657
0.0,47.04,655.27,715.064,100.0,0,67.86622,15.729998,50.292675
0.0,67.0,446.075,32897.564,100.0,0,64.162865,22.328382,64.04861
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,51.83,20164.69,898.716,5292.336,0,903.6953,1738.4739,1691.7415
0.0,68.23,300.0,32897.564,100.0,0,64.162544,23.367666,66.107765
0.0,17.84,300.0,32897.564,100.0,0,65.25453,27.122522,52.899937
0.0,19.04,300.0,300.0,110.404,1,69.01531,37.782867,57.919083
0.0,69.98,619.745,1209.18,169.288,0,68.05747,39.148712,63.000057
0.0,45.62,3142.86,784.0,840.896,0,108.131096,142.88693,76.35814
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,486.57,302.4,165.284,0,67.98748,38.18184,63.171165
0.0,6.43,300.0,32897.564,100.0,0,67.12296,32.3114,57.206463
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,12.64,463.575,32897.564,123.144,-1,108.131096,28.23932,73.183846
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,23.24,4367.685,154.0,1609.972,0,108.89511,377.11768,226.0881
0.0,69.98,600.11,300.0,170.688,-1,108.131096,35.467598,69.298386
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,10.51,7266.49,4032.0,892.584,-1,148.88472,248.35841,111.99303
0.0,7.0,14926.8,3838.8,2579.304,1,270.34412,800.0336,608.72485
0.0,69.98,1910.965,300.0,427.924,0,70.0121,120.292625,71.76047
0.0,18.34,300.0,32897.564,100.0,0,65.238304,26.910295,52.6774
0.0,8.01,1098.965,448.0,290.444,0,85.14413,60.052765,59.934483
0.0,21.24,24768.1,57456.0,18072.432,-1,4762.7227,6426.7783,6081.602
0.0,47.93,2356.97,1344.0,296.828,0,69.67503,42.44227,52.175293
0.0,6.03,1689.695,300.0,446.656,-1,129.9089,119.600746,74.6449
0.0,26.87,300.0,300.0,100.0,0,67.68217,23.257872,53.08543
0.0,42.71,300.0,300.0,100.0,0,67.74366,16.553122,50.34272
0.0,21.44,300.0,300.0,100.0,0,67.59128,25.557528,54.729446
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,5.53,8274.49,71008.0,1296.456,0,80.9228,344.7127,451.08337
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,13.87,300.0,32897.564,100.0,0,65.808495,28.807653,54.521046
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,73.47,685.545,32897.564,100.0,-1,84.68133,52.60942,97.37195
0.0,69.98,695.03,439.992,219.94,0,67.70116,53.131485,64.08063
0.0,20.39,7858.515,354.284,3702.328,-1,504.94073,1008.7058,987.3122
0.0,51.32,613.41,300.0,226.8,0,68.707306,29.88436,51.991573
0.0,6.0,300.0,32897.564,100.0,0,67.1772,32.97329,57.361668
0.0,39.91,300.0,32897.564,100.0,0,64.99168,17.754602,46.18191
0.0,6.95,300.0,32897.564,100.0,0,67.038445,31.744955,57.01877
0.0,45.73,599.795,884.716,107.94,0,67.81064,16.25466,50.2929
0.0,9.74,386.61,32897.564,103.04,-1,109.09356,26.984491,73.22795
0.0,13.57,300.0,300.0,100.0,0,69.08566,28.890562,56.779545
0.0,51.83,2306.57,495.824,845.236,0,108.131096,142.92654,79.86577
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,29.97,1610.84,844.256,449.904,0,75.64207,74.787895,57.484413
0.0,9.54,300.0,32897.564,100.0,0,66.67447,30.645594,56.08393
0.0,21.62,1449.595,300.0,314.188,-1,108.131096,57.208733,63.31127
0.0,14.42,579.53,32897.564,197.344,0,66.606865,37.164963,62.070663
0.0,51.83,30047.045,8634.948,11092.2,0,2893.1616,4027.5825,4034.743
0.0,67.0,300.0,32897.564,100.0,-1,80.707054,16.830183,88.20573
0.0,51.83,24154.375,305.704,2904.076,0,312.85165,800.0114,651.0301
0.0,22.05,1474.48,85.904,337.652,0,71.71158,56.829803,57.596535
0.0,51.83,2906.365,5.936,351.792,0,69.795204,52.007774,55.324574
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,557.585,300.0,100.0,-1,108.13108,22.017202,68.64168
0.0,51.83,9135.56,700.0,3823.484,0,439.9891,1160.571,998.47064
0.0,69.98,446.565,399.392,100.0,0,69.38574,27.213758,62.895676
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,51.83,5000.0,2750.0,1350.0,0,112.38958,242.91885,132.1428
0.0,24.68,300.0,300.0,100.0,-1,108.131096,19.529737,57.968853
0.0,69.98,681.24,300.0,181.188,0,67.913734,41.96216,63.32593
0.0,26.96,10388.315,6587.896,1747.032,0,116.17639,412.73047,333.33224
0.0,26.54,300.0,300.0,100.0,0,67.67941,23.39763,53.18534
0.0,21.28,300.0,32897.564,100.0,-1,75.901436,22.532606,68.347664
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,11.93,300.0,300.0,100.0,0,69.71023,29.585123,57.139736
0.0,49.43,300.0,32897.564,100.0,0,64.706505,15.390825,45.963287
0.0,13.57,300.0,300.0,100.0,0,69.08566,28.890562,56.779545
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,71.36,300.0,32897.564,100.0,0,64.159904,38.993645,71.386856
0.0,50.44,1300.005,1235.388,340.48,0,69.82806,50.074356,53.907963
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,51.83,5259.59,313.236,652.204,-1,108.131096,128.22232,76.57664
0.0,49.36,557.865,896.532,235.928,0,68.96261,31.588694,51.23346
0.0,4.73,300.0,300.0,100.0,0,73.09013,34.00074,58.67531
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,22.56,7544.18,8482.516,3157.028,0,397.6833,846.40485,794.2284
0.0,29.4,468.265,300.0,102.62,-1,108.131096,18.20685,56.506287
0.0,50.15,1555.855,666.204,408.408,0,71.79388,62.11788,55.584106
